timestamp_ms,label,ax,ay,az,gx,gy,gz
573258,STATIONARY,-0.336060,0.840210,-0.432495,-1.953125,0.183105,-0.183105
573278,STATIONARY,-0.336426,0.838867,-0.433838,0.244141,0.244141,-0.122070
573298,STATIONARY,-0.338623,0.837036,-0.427856,0.732422,0.183105,-0.183105
573318,STATIONARY,-0.338257,0.840454,-0.424561,-0.183105,0.244141,-0.183105
573338,STATIONARY,-0.334595,0.840210,-0.425781,-0.976562,0.244141,-0.183105
573358,STATIONARY,-0.334106,0.838623,-0.428589,-1.159668,0.183105,-0.061035
573378,STATIONARY,-0.337280,0.838257,-0.431763,-0.915527,0.122070,-0.061035
573398,STATIONARY,-0.338379,0.838379,-0.430542,-0.732422,0.183105,-0.122070
573418,STATIONARY,-0.337524,0.839111,-0.427246,-0.671387,0.122070,-0.061035
573438,STATIONARY,-0.334839,0.840088,-0.427246,-0.732422,0.183105,-0.061035
573458,STATIONARY,-0.336548,0.838745,-0.428955,-0.732422,0.183105,-0.122070
573478,STATIONARY,-0.339233,0.838013,-0.432251,-0.549316,0.244141,-0.183105
573498,STATIONARY,-0.338135,0.838745,-0.431274,-0.244141,0.183105,-0.183105
573518,STATIONARY,-0.336548,0.839233,-0.428711,-0.183105,0.183105,-0.122070
573538,STATIONARY,-0.335938,0.839111,-0.427856,-0.671387,0.183105,-0.061035
573558,STATIONARY,-0.337524,0.838379,-0.429565,-1.098633,0.183105,-0.061035
573578,STATIONARY,-0.336792,0.838501,-0.430542,-1.281738,0.122070,-0.122070
573598,STATIONARY,-0.336548,0.839600,-0.431885,-0.793457,0.183105,-0.061035
573618,STATIONARY,-0.337891,0.836914,-0.430786,-0.427246,0.122070,-0.061035
573638,STATIONARY,-0.338013,0.838135,-0.430176,-0.549316,0.183105,-0.244141
573658,STATIONARY,-0.337646,0.839233,-0.429077,-0.549316,0.183105,-0.183105
573678,STATIONARY,-0.336182,0.837646,-0.431152,-0.610352,0.183105,-0.122070
573698,STATIONARY,-0.336060,0.837524,-0.430176,-0.610352,0.244141,-0.061035
573718,STATIONARY,-0.337402,0.838501,-0.429077,-0.549316,0.183105,-0.122070
573738,STATIONARY,-0.336426,0.837769,-0.429810,-0.793457,0.183105,-0.061035
573758,STATIONARY,-0.338257,0.838379,-0.430298,-0.915527,0.244141,-0.122070
573778,STATIONARY,-0.337158,0.838135,-0.431152,-0.854492,0.183105,-0.183105
573798,STATIONARY,-0.336914,0.837891,-0.432129,-0.793457,0.183105,-0.122070
573818,STATIONARY,-0.338501,0.837891,-0.433838,-0.671387,0.122070,-0.122070
573838,STATIONARY,-0.338013,0.837158,-0.432251,-0.305176,0.183105,-0.061035
573858,STATIONARY,-0.337280,0.838501,-0.431396,-0.366211,0.244141,-0.122070
573878,STATIONARY,-0.336914,0.838501,-0.432373,-0.671387,0.183105,-0.122070
573898,STATIONARY,-0.336548,0.837891,-0.431885,-0.976562,0.183105,-0.061035
573918,STATIONARY,-0.337036,0.837158,-0.432861,-0.854492,0.183105,-0.122070
573938,STATIONARY,-0.338135,0.836426,-0.432007,-0.610352,0.244141,-0.122070
573958,STATIONARY,-0.337402,0.837158,-0.432129,-0.671387,0.183105,-0.122070
573978,STATIONARY,-0.337524,0.838013,-0.434570,-0.793457,0.183105,-0.122070
573998,STATIONARY,-0.337402,0.836670,-0.432739,-0.671387,0.244141,-0.183105
574018,STATIONARY,-0.337280,0.836792,-0.432373,-0.549316,0.244141,-0.122070
574038,STATIONARY,-0.338013,0.838013,-0.432495,-0.488281,0.244141,-0.061035
574058,STATIONARY,-0.338013,0.838989,-0.431519,-0.671387,0.183105,-0.122070
574078,STATIONARY,-0.337769,0.836182,-0.432983,-0.854492,0.244141,-0.183105
574098,STATIONARY,-0.336792,0.836914,-0.433350,-0.854492,0.244141,-0.122070
574118,STATIONARY,-0.337524,0.837524,-0.433838,-0.854492,0.122070,-0.061035
574138,STATIONARY,-0.338013,0.836426,-0.435303,-0.732422,0.183105,-0.061035
574158,STATIONARY,-0.337769,0.837036,-0.432983,-0.610352,0.244141,-0.122070
574178,STATIONARY,-0.337036,0.836914,-0.434448,-0.610352,0.183105,-0.183105
574198,STATIONARY,-0.337891,0.836548,-0.434326,-0.671387,0.183105,-0.244141
574218,STATIONARY,-0.336914,0.837158,-0.433228,-0.610352,0.183105,-0.122070
574238,STATIONARY,-0.337280,0.836304,-0.433960,-0.671387,0.183105,-0.122070
574258,STATIONARY,-0.336914,0.835937,-0.434326,-0.610352,0.183105,-0.061035
574278,STATIONARY,-0.337280,0.836182,-0.433228,-0.610352,0.183105,-0.061035
574298,STATIONARY,-0.337280,0.837036,-0.434082,-0.854492,0.244141,-0.061035
574318,STATIONARY,-0.338135,0.835205,-0.435425,-0.915527,0.244141,-0.061035
574338,STATIONARY,-0.337646,0.835815,-0.435547,-0.732422,0.183105,-0.061035
574358,STATIONARY,-0.337158,0.837158,-0.434570,-0.488281,0.183105,-0.183105
574378,STATIONARY,-0.337524,0.836060,-0.434448,-0.488281,0.183105,-0.183105
574398,STATIONARY,-0.337769,0.836548,-0.433105,-0.671387,0.183105,-0.061035
574418,STATIONARY,-0.337402,0.835571,-0.435547,-0.732422,0.122070,-0.122070
574438,STATIONARY,-0.337769,0.836426,-0.435669,-0.793457,0.183105,-0.061035
574458,STATIONARY,-0.336304,0.835815,-0.434937,-0.732422,0.183105,-0.122070
