timestamp_ms,label,ax,ay,az,gx,gy,gz
404927,STATIONARY,-0.086792,-0.193970,-0.973633,0.610352,1.037598,-0.366211
404947,STATIONARY,-0.088379,-0.194214,-0.972534,0.122070,0.793457,-0.244141
404967,STATIONARY,-0.087769,-0.194702,-0.973755,-0.427246,0.122070,0.061035
404987,STATIONARY,-0.087158,-0.194092,-0.973755,-0.732422,-0.427246,0.183105
405007,STATIONARY,-0.086792,-0.195312,-0.973877,-0.488281,-0.610352,0.122070
405027,STATIONARY,-0.086548,-0.194458,-0.974121,-0.427246,-0.488281,0.244141
405047,STATIONARY,-0.086914,-0.194214,-0.975342,-0.366211,-0.183105,0.427246
405067,STATIONARY,-0.086060,-0.195679,-0.974365,0.305176,0.549316,0.427246
405087,STATIONARY,-0.086670,-0.195557,-0.972900,0.122070,0.671387,-0.061035
405107,STATIONARY,-0.086914,-0.194092,-0.974731,0.549316,0.671387,-0.427246
405127,STATIONARY,-0.088135,-0.193726,-0.973145,0.549316,1.098633,-0.427246
405147,STATIONARY,-0.088623,-0.194580,-0.974731,0.305176,0.671387,-0.305176
405167,STATIONARY,-0.087891,-0.193237,-0.972900,-0.061035,0.366211,-0.183105
405187,STATIONARY,-0.088135,-0.193726,-0.973999,0.122070,0.244141,-0.061035
405207,STATIONARY,-0.088745,-0.194946,-0.972534,0.244141,0.244141,-0.061035
405227,STATIONARY,-0.088867,-0.194336,-0.972534,-0.061035,0.061035,0.000000
405247,STATIONARY,-0.088623,-0.193359,-0.973877,-0.305176,-0.061035,0.061035
405267,STATIONARY,-0.087280,-0.193481,-0.974731,-0.183105,-0.061035,0.122070
405287,STATIONARY,-0.088013,-0.194336,-0.975464,0.000000,0.000000,0.061035
405307,STATIONARY,-0.088013,-0.193970,-0.974121,0.122070,0.061035,0.000000
405327,STATIONARY,-0.088135,-0.192993,-0.973511,-0.122070,0.000000,0.061035
405347,STATIONARY,-0.087769,-0.193237,-0.974243,-0.366211,-0.366211,0.122070
405367,STATIONARY,-0.088135,-0.193848,-0.974609,-0.549316,-0.061035,0.061035
405387,STATIONARY,-0.087402,-0.194824,-0.976807,-0.244141,0.061035,0.000000
405407,STATIONARY,-0.088013,-0.192627,-0.975586,-0.366211,0.305176,-0.061035
405427,STATIONARY,-0.087646,-0.193359,-0.974609,-0.427246,0.366211,-0.122070
405447,STATIONARY,-0.086548,-0.193970,-0.973145,-0.366211,0.488281,-0.122070
405467,STATIONARY,-0.086182,-0.193726,-0.973267,0.122070,0.549316,-0.183105
405487,STATIONARY,-0.087891,-0.193115,-0.974365,0.427246,0.488281,-0.244141
405507,STATIONARY,-0.089722,-0.193726,-0.974365,0.488281,0.305176,-0.183105
405527,STATIONARY,-0.088135,-0.193115,-0.973999,-0.122070,0.183105,-0.061035
405547,STATIONARY,-0.088867,-0.193726,-0.975220,-0.183105,0.305176,-0.183105
405567,STATIONARY,-0.088989,-0.195190,-0.974976,-0.183105,0.305176,-0.122070
405587,STATIONARY,-0.088257,-0.193115,-0.973877,-0.488281,-0.122070,0.061035
405607,STATIONARY,-0.088745,-0.192871,-0.972778,-0.854492,-0.366211,0.244141
405627,STATIONARY,-0.088379,-0.193481,-0.973999,-0.793457,-0.427246,0.183105
405647,STATIONARY,-0.086548,-0.194214,-0.973999,-0.549316,-0.488281,0.183105
405667,STATIONARY,-0.087646,-0.194946,-0.973633,-0.488281,-0.244141,0.183105
405687,STATIONARY,-0.086792,-0.193970,-0.975586,-1.037598,-0.061035,0.183105
405707,STATIONARY,-0.086670,-0.194580,-0.976318,-1.220703,0.122070,0.061035
405727,STATIONARY,-0.088257,-0.195068,-0.970581,0.122070,0.488281,-0.183105
405747,STATIONARY,-0.087524,-0.195312,-0.976929,0.610352,0.610352,-0.305176
405767,STATIONARY,-0.087036,-0.193237,-0.973755,-0.183105,1.098633,-0.366211
405787,STATIONARY,-0.087402,-0.192261,-0.973755,0.488281,1.037598,-0.427246
405807,STATIONARY,-0.089478,-0.193726,-0.969482,-0.061035,1.159668,-0.305176
405827,STATIONARY,-0.089233,-0.193359,-0.974121,-0.061035,0.244141,-0.061035
405847,STATIONARY,-0.087769,-0.193481,-0.973999,-0.549316,-0.549316,0.366211
405867,STATIONARY,-0.088501,-0.192505,-0.973999,-0.610352,-0.976562,0.366211
405887,STATIONARY,-0.088013,-0.194214,-0.973999,-0.610352,-0.671387,0.244141
405907,STATIONARY,-0.087646,-0.195068,-0.974854,-0.671387,-0.305176,0.122070
405927,STATIONARY,-0.086670,-0.195435,-0.974609,-0.732422,-0.061035,0.122070
405947,STATIONARY,-0.086426,-0.196167,-0.973999,-0.488281,0.305176,-0.061035
586383,WALKING,-0.794067,-0.542358,-0.326660,-5.310058,-13.610839,1.586914
586403,WALKING,-0.679443,-0.438721,-0.308228,4.394531,-11.657714,9.216309
586423,WALKING,-0.611450,-0.381714,-0.291504,-9.277344,-19.226074,2.746582
586443,WALKING,-0.635132,-0.406982,-0.283936,-13.183593,-12.084960,-4.516602
586463,WALKING,-0.753540,-0.511475,-0.304688,6.591796,7.446289,-1.098633
586483,WALKING,-0.849854,-0.585815,-0.333740,15.319823,8.972168,12.512206
586503,WALKING,-0.855835,-0.566650,-0.331421,5.065917,-9.277344,24.597166
586523,WALKING,-0.804321,-0.495483,-0.294800,-3.723144,-22.338865,29.174803
586543,WALKING,-0.774292,-0.450439,-0.266724,4.333496,-15.686034,29.052732
586563,WALKING,-0.782227,-0.444092,-0.261108,15.930175,-1.953125,28.076170
